programme,mlcourse,ircourse,statcourse,dbcourse,knowledge,stress,stress_level,bedtime,bedtime_segment,sporthours,activity_intensity,byear,age,mental_age,mental_biological_age,gender,chatGPT,random,bmonth
computer science,no,no,unknown,nee,4,40.0,medium,00,Late Night,0.0,low,1998,26,30,older,female,yes,1636287.0,6
artificial intelligence,yes,no,sigma,nee,6,42.24220338983051,medium,15,Evening,6.6204081632653065,moderate,2000,24,27,older,male,yes,1.0,
artificial intelligence,yes,yes,mu,ja,14,20.0,low,01,Late Night,2.0,low,1999,25,27,older,gender fluid,no,43.0,4
bioinformatics and systems biology,yes,unknown,sigma,nee,8,50.0,medium,03,Late Night,2.0,low,1999,25,30,older,male,yes,8.0,07
big data engineering,no,no,sigma,nee,2,80.0,high,05,Early Morning,5.0,moderate,1999,25,32,older,female,no,19.0,10
computer science,yes,yes,mu,ja,14,10.0,low,00,Late Night,2.0,low,2001,23,24,older,male,yes,69420.0,1
computer science,yes,no,mu,ja,10,30.0,low,00,Late Night,2.0,low,2000,24,27,older,male,not willing to say,42.0,5
computational science,no,no,mu,ja,6,20.0,low,01,Late Night,15.0,high,1998,26,25,younger,male,not willing to say,28.0,12
computational science,no,no,mu,nee,6,10.0,low,03,Late Night,6.0,moderate,2000,24,24,match,female,not willing to say,17.0,
computational science,yes,no,mu,nee,10,0.0,low,23,Late Night,4.0,moderate,2000,24,23,younger,male,yes,6.0,4
computer science,yes,no,mu,nee,10,99.0,high,02,Late Night,0.0,low,1997,27,37,older,male,no,1012708299.0,12
bioinformatics and systems biology,yes,no,mu,ja,10,75.0,medium,22,Night,4.0,moderate,1999,25,32,older,female,yes,8.0,8
political data journalism,yes,no,mu,nee,10,40.0,medium,00,Late Night,7.0,high,1998,26,29,older,non-binary,yes,53.0,5
computer science,no,no,unknown,nee,4,80.0,high,01,Late Night,0.0,low,1998,26,34,older,male,not willing to say,169.0,05
artificial intelligence,yes,yes,mu,ja,14,30.0,low,02,Late Night,6.0,moderate,2000,24,26,older,male,yes,2564803.0,10
artificial intelligence,yes,yes,mu,ja,14,80.0,high,23,Late Night,0.0,low,2002,22,30,older,male,no,9.0,8
critical language scholarship,no,no,mu,nee,6,68.0,medium,01,Late Night,5.0,moderate,2000,24,30,older,female,yes,9.0,9
computer science,yes,yes,sigma,ja,10,7.0,low,00,Late Night,2.0,low,2000,24,24,match,male,not willing to say,9291.0,2
computer science,no,no,sigma,nee,2,77.0,medium,02,Late Night,2.0,low,1993,31,38,older,not willing to answer,not willing to say,0.0,10
computer science,yes,yes,mu,ja,14,20.0,low,00,Late Night,2.0,low,2002,22,24,older,male,no,582819464919263.0,1
artificial intelligence,yes,no,mu,nee,10,30.0,low,23,Late Night,2.0,low,1999,25,28,older,female,yes,17.0,7
computational science,yes,no,mu,ja,10,0.0,low,23,Late Night,4.0,moderate,1999,25,24,younger,female,yes,-42.0,11
bioinformatics and systems biology,yes,unknown,mu,ja,12,100.0,high,01,Late Night,3.0,moderate,1999,25,34,older,male,yes,420.0,11
business analytics,yes,yes,mu,nee,14,25.0,low,02,Late Night,5.0,moderate,2000,24,26,older,male,yes,4.0,3
business analytics,yes,no,mu,nee,10,10.0,low,23,Late Night,5.0,moderate,2002,22,22,match,female,yes,3572589.0,3
computational science,yes,yes,mu,ja,14,100.0,high,00,Late Night,8.0,high,2001,23,31,older,female,not willing to say,68.0,5
artificial intelligence,no,yes,mu,ja,10,5.0,low,01,Late Night,18.0,high,1998,26,23,younger,not willing to answer,no,6.39959299895993e+42,1
unknown,yes,unknown,unknown,ja,10,60.0,medium,23,Late Night,6.0,moderate,2000,24,29,older,male,yes,6.0,5
computer science,no,no,unknown,ja,4,40.0,medium,23,Late Night,2.0,low,2001,23,27,older,female,yes,67.0,5
quantitative risk management,no,no,mu,ja,6,42.24220338983051,medium,01,Late Night,15.0,high,1998,26,27,older,non-binary,yes,22.0,2
artificial intelligence,yes,no,mu,ja,10,20.0,low,02,Late Night,10.0,high,2001,23,23,match,male,yes,24.0,7
econometrics and data science,yes,yes,mu,ja,14,2.0,low,23,Late Night,3.0,moderate,1998,26,26,match,female,yes,74.0,7
bioinformatics and systems biology,yes,no,mu,nee,10,0.0,low,02,Late Night,6.0,moderate,2002,22,21,younger,male,not willing to say,42.0,5
finiancial technology,yes,no,unknown,nee,8,90.0,high,02,Late Night,4.0,moderate,2000,24,32,older,female,yes,31.0,5
