programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2
critical language scholarship,no,no,mu,nee,female,yes,3.25,300,no,42.24220338983051,10,360.0,01:00,TV shows,friends
unknown,no,no,mu,nee,female,yes,06/10/1994,300,no,35.0,4,47.0,01:00,Sports,Friends
artificial intelligence,yes,yes,mu,ja,female,not willing to say,05.04.1996,200,no,76.0,0,35.0,00:00,If the to do list is empty ,If I have a new book
business analytics,yes,unknown,mu,nee,female,not willing to say,28/10/1997,140,no,30.0,3,5.0,02:00,Food,Shopping
econometrics and data science,yes,no,mu,ja,female,no,04/06/2002,200,no,20.0,8,3.0,23:30,Good food,Good company
computer science,no,no,unknown,ja,female,yes,21-05-2001,200,no,40.0,2,67.0,23:00,Good sleep,Good breakfast
business analytics,yes,yes,mu,ja,female,yes,20-07-2001,300,no,30.0,6,8.0,23:00,Sunshine,Nice people around me
artificial intelligence,yes,yes,mu,ja,female,yes,12.12.2000,200,no,30.0,2,12.0,03:00,good warm weather ,spending time with friends 
artificial intelligence,yes,no,mu,nee,female,yes,4 april 2000,240,no,30.0,8,4.0,00:15,Food,Day off
artificial intelligence,yes,yes,mu,nee,male,yes,04.08.1999,260,no,12.0,6,8.0,01:00,"Gym, food and sex",Party
artificial intelligence,yes,no,mu,nee,female,yes,13-05-2000,160,no,20.0,4,38.0,23:00,Seeing my friends,Working out
big data engineering,yes,yes,mu,ja,male,yes,9 january,200,no,42.24220338983051,2,1234567890.0,04:20,When my family is happy,When it is sunny and snowing
bioinformatics and systems biology,yes,no,mu,nee,female,yes,06/24/1999,300,no,60.0,2,22.0,24:00,Good food,Nice weather
artificial intelligence,yes,no,sigma,ja,female,yes,10-10-2000,280,no,70.0,5,68.0,01:15,Coffee,Eggs
artificial intelligence,yes,no,unknown,nee,male,yes,24.03.1997,200,no,10.0,6,42.0,06:00,Good weather,Seeing my friends 
artificial intelligence,yes,no,mu,nee,male,yes,08/09/1992,160,no,0.0,14,67.0,24:00,Working out,Eating pizza 
artificial intelligence,yes,no,mu,ja,male,no,20-06-1998,160,no,99.0,10,222.0,03:00,Good sleep,Good food
computer science,yes,no,sigma,nee,other,yes,14-11-2100,200,no,0.0,2,78675643.0,02:00,happy,more happy
computer science,no,no,mu,ja,male,yes,04-11-2001,200,no,50.0,0,98934847.0,23:30,Rest,Games
computer science,yes,no,sigma,ja,male,yes,29-10,340,no,65.0,8,8.0,00:00,Good Weather,Good Meal
bioinformatics and systems biology,yes,no,mu,ja,female,yes,03/07/1998,200,no,25.0,0,42.0,00:40,Sleep,Food
artificial intelligence,yes,yes,mu,ja,male,yes,27-08-1999,200,no,5.0,7,55.0,01:30,Not waking up tired,Eating enough through the day
big data engineering,yes,no,mu,nee,female,yes,14-08-2000,300,no,99.99,5,42.0,24:00,Shopping,Shopping
artificial intelligence,yes,no,mu,nee,female,yes,17 December ,240,no,25.0,0,88.0,00:30,Sleeping in ,Sun shining 
artificial intelligence,yes,no,sigma,nee,female,yes,02-08-1999,180,no,20.0,3,28.0,21:30,Sunshine,Seeing friends
